alternative_names,classification,first_name,frequency_female,frequency_male,frequency_total,frequency_group,group_name,ratio
AILINE|ALEINE|ALIINE|ALINE|ALINER|ALINHE|ALINNE|ALYNE|ALYNNE|AYLINE|EALINE|ELEINE|ELINE|ELINER|ELINNE|ELYNE|EULINE|HALINE|HALYNE|HELEINE|HELINE|HELYNE|IALINE|ILEINE|ILINE|LEINE|LEINER|LEYNE|LINE|LINER|LUEINE|LUINE|LUYNE|LYNE|LYNNE|OLINE|UELINE,F,AALINE,66,,66,530550,ALINE,1.0
ARAAO|ARAO,M,AARAO,,281,281,3526,ARAO,1.0
AHARON|AROM|ARON|ARYON|HARON,M,AARON,,676,676,3442,ARON,1.0
ADA|ADAH|ADAR|ADHA|HADA,F,ABA,82,,82,5583,ADA,1.0
,M,ABADE,,57,57,57,ABADE,1.0
ABADIR,M,ABADI,,73,73,116,ABADI,1.0
,F,ABADIA,7438,127,7565,7565,ABADIA,0.983212161269002
,M,ABADIAS,45,156,201,201,ABADIAS,0.7761194029850746
,M,ABADIO,,1550,1550,1550,ABADIO,1.0
ABETE|ADETE,M,ABAETE,,39,39,233,ADETE,1.0
,M,ABD,,23,23,23,ABD,1.0
ADDA,F,ABDA,343,,343,485,ABDA,1.0
ABDAEL|ABDEEL|ABDEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL,M,ABDAL,,32,32,1564,ABDIEL,1.0
